id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,idade_imovel,foi_reformado,comodos_totais,razao_lote_area,anos_desde_reforma,faixa_zipcode
7129300520,2014-10-13,221900.0,3.0,1.0,1180.0,5650.0,1.0,0,0,3,7,1180.0,0.0,1955,0,98178,47.5112,-122.257,1340,5650,59,0,4.0,4.788135593220339,0,baixo
6414100192,2014-12-09,538000.0,3.0,2.25,2570.0,7242.0,2.0,0,0,3,7,2170.0,400.0,1951,1991,98125,47.721,-122.319,1690,7639,63,1,5.25,2.817898832684825,23,medio_baixo
5631500400,2015-02-25,180000.0,2.0,1.0,770.0,10000.0,1.0,0,0,3,6,770.0,0.0,1933,0,98028,47.7379,-122.233,2720,8062,82,0,3.0,12.987012987012987,0,medio_baixo
2487200875,2014-12-09,604000.0,4.0,3.0,1960.0,5000.0,1.0,0,0,5,7,1050.0,910.0,1965,0,98136,47.5208,-122.393,1360,5000,49,0,7.0,2.5510204081632653,0,medio_alto
1954400510,2015-02-18,510000.0,3.0,2.0,1680.0,8080.0,1.0,0,0,3,8,1680.0,0.0,1987,0,98074,47.6168,-122.045,1800,7503,28,0,5.0,4.809523809523809,0,alto
7237550310,2014-05-12,1225000.0,4.0,3.625,4234.5,19160.0,1.0,0,0,3,11,3740.0,1400.0,2001,0,98053,47.6561,-122.005,4760,101930,13,0,7.625,4.5247372771283505,0,alto
1321400060,2014-06-27,257500.0,3.0,2.25,1715.0,6819.0,2.0,0,0,3,7,1715.0,0.0,1995,0,98003,47.3097,-122.327,2238,6819,19,0,5.25,3.9760932944606413,0,baixo
2008000270,2015-01-15,291850.0,3.0,1.5,1060.0,9711.0,1.0,0,0,3,7,1060.0,0.0,1963,0,98198,47.4095,-122.315,1650,9711,52,0,4.5,9.16132075471698,0,baixo
2414600126,2015-04-15,229500.0,3.0,1.0,1780.0,7470.0,1.0,0,0,3,7,1050.0,730.0,1960,0,98146,47.5123,-122.337,1780,8113,55,0,4.0,4.196629213483146,0,medio_baixo
3793500160,2015-03-12,323000.0,3.0,2.5,1890.0,6560.0,2.0,0,0,3,7,1890.0,0.0,2003,0,98038,47.3684,-122.031,2390,7570,12,0,5.5,3.4708994708994707,0,medio_baixo
