id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,log_price,log_sqft_lot
7129300520,20141013T000000,221900.0,3.0,1.0,1180.0,5650.0,1.0,0,0,3,7,1180.0,0.0,1955,0,98178,47.5112,-122.257,1340,5650,12.309986615445005,8.639587799629844
6414100192,20141209T000000,538000.0,3.0,2.25,2570.0,7242.0,2.0,0,0,3,7,2170.0,400.0,1951,1991,98125,47.721,-122.319,1690,7639,13.195615697878253,8.887790764195326
5631500400,20150225T000000,180000.0,2.0,1.0,770.0,10000.0,1.0,0,0,3,6,770.0,0.0,1933,0,98028,47.7379,-122.233,2720,8062,12.100717685412471,9.210440366976517
2487200875,20141209T000000,604000.0,4.0,3.0,1960.0,5000.0,1.0,0,0,5,7,1050.0,910.0,1965,0,98136,47.5208,-122.393,1360,5000,13.311331132544721,8.517393171418904
1954400510,20150218T000000,510000.0,3.0,2.0,1680.0,8080.0,1.0,0,0,3,8,1680.0,0.0,1987,0,98074,47.6168,-122.045,1800,7503,13.1421679654829,8.997270906233448
7237550310,20140512T000000,1225000.0,4.0,3.625,4234.5,19160.0,1.0,0,0,3,11,3740.0,1400.0,2001,0,98053,47.6561,-122.005,4760,101930,14.018452218287162,11.532051392768706
1321400060,20140627T000000,257500.0,3.0,2.25,1715.0,6819.0,2.0,0,0,3,7,1715.0,0.0,1995,0,98003,47.3097,-122.327,2238,6819,12.458778882573533,8.827614750837508
2008000270,20150115T000000,291850.0,3.0,1.5,1060.0,9711.0,1.0,0,0,3,7,1060.0,0.0,1963,0,98198,47.4095,-122.315,1650,9711,12.583998677043747,9.181117513299279
2414600126,20150415T000000,229500.0,3.0,1.0,1780.0,7470.0,1.0,0,0,3,7,1050.0,730.0,1960,0,98146,47.5123,-122.337,1780,8113,12.343662665771719,8.918784137975802
3793500160,20150312T000000,323000.0,3.0,2.5,1890.0,6560.0,2.0,0,0,3,7,1890.0,0.0,2003,0,98038,47.3684,-122.031,2390,7570,12.685410698175234,8.788898309344878
